userId,score,purple,legendaries
441438828,67200.00,21000,22
591719855,67192.00,18160,27
117674425,66600.00,18000,27
7319962839,66600.00,18000,27
8189464310,66500.00,7000,85
338431880,66000.00,22000,20
7698132907,65800.00,14000,37
6772107164,65600.00,16000,31
7143864340,64800.00,18000,26
5938046467,64600.00,19000,24
659522951,64220.00,16900,28
1177729202,64000.00,20000,22
1213008615,64000.00,16000,30
1936611073,63700.00,13000,39
7884658704,63700.00,13000,39
7935702405,63000.00,18000,25
5078869454,63000.00,15000,32
565653479,63000.00,15000,32
1807087416,62900.00,17000,27
223164353,62900.00,17000,27
7497801333,62900.00,17000,27
5186578369,62000.00,20000,21
326682087,61200.00,18000,24
1214157058,60900.00,21000,19
1196232556,60800.00,19000,22
648269182,60000.00,20000,20
6310875478,60000.00,15000,30
1043592651,59500.00,17000,25
1049852601,59400.00,22000,17
812325627,59400.00,18000,23
373056971,59400.00,18000,23
7980192923,59400.00,18000,23
7803927649,59400.00,6000,89
7532617296,58740.00,17800,23
7488124753,58500.00,15000,29
6419301549,58000.00,20000,19
6516688013,57600.00,18000,22
8020207578,57600.00,16000,26
560189662,57600.00,12000,38
7345400242,57200.00,13000,34
6650502033,57000.00,19000,20
7368160523,57000.00,15000,28
1081511636,56000.00,20000,18
1667587222,55900.00,13000,33
753679733,55708.00,14660,28
6316188212,55500.00,15000,27
6889389416,54400.00,16000,24
7412286875,54000.00,15000,26
2031054289,52800.00,16000,23
7032296263,52700.00,17000,21
810432427,52696.00,18820,18
6489241664,52500.00,21000,15
7910409125,51630.00,17210,20
7003498824,51000.00,17000,20
2147403948,51000.00,17000,20
7315437290,51000.00,15000,24
1010975870,50400.00,21000,14
6096109698,50400.00,12000,32
6998938459,49600.00,16000,21
5901144647,49400.00,19000,16
7118747854,49400.00,19000,16
1607237399,49400.00,13000,28
585323093,49300.00,17000,19
7341555547,49300.00,17000,19
2037158852,49300.00,17000,19
497810505,49000.00,10000,39
7746979117,48600.00,18000,17
885622962,48100.00,13000,27
5682254346,48100.00,13000,27
6045724002,48053.00,16570,19
1880277027,48000.00,20000,14
253668293,48000.00,16000,20
7524748979,48000.00,15000,22
7250139870,48000.00,15000,22
8097278898,47500.00,19000,15
197899394,46800.00,13000,26
1049248385,46500.00,15000,21
6739915676,46500.00,15000,21
6990367964,46200.00,14000,23
763808688,45900.00,17000,17
5811242274,45900.00,17000,17
6754106782,45900.00,17000,17
1304608658,45900.00,17000,17
428668317,45600.00,19000,14
213747533,45500.00,13000,25
6056942940,45185.00,12910,25
5678820266,45066.00,15540,19
7248561492,45000.00,15000,20
6318161715,44800.00,16000,18
2019660158,44800.00,14000,22
238603853,44632.00,15940,18
1567955519,44400.00,12000,27
397235558,44200.00,17000,16
821631231,44200.00,17000,16
5783456377,44200.00,17000,16
7776446134,44200.00,17000,16
8119109825,44200.00,13000,24
1241433422,44200.00,13000,24
7617055114,44200.00,13000,24
1068392820,44000.00,22000,10
7165987414,43820.00,12520,25
5896508558,43652.00,15590,18
1155785572,43400.00,14000,21
909783981,43307.00,13970,21
8107647328,43264.00,13520,22
1376758870,43200.00,18000,14
467172216,43200.00,18000,14
5290557621,43200.00,16000,17
2032091894,43092.00,15390,18
7998445220,43000.00,10000,33
270318611,43000.00,10000,33
6877314004,42984.00,15920,17
7219388123,42900.00,39000,1
8143532564,42900.00,13000,23
301385812,42900.00,13000,23
373654766,42900.00,11000,29
6949088266,42500.00,17000,15
1703562394,42500.00,17000,15
6611940895,42420.00,14140,20
751555868,42200.00,16880,15
1444319815,42000.00,20000,11
741385364,42000.00,15000,18
7935528632,42000.00,15000,18
660069237,42000.00,14000,20
902351961,41974.00,13540,21
7195933882,41888.00,12320,24
7797278479,41600.00,13000,22
949808523,41600.00,13000,22
6407555829,40800.00,17000,14
474886405,40800.00,17000,14
748902831,40800.00,17000,14
1420147268,40800.00,17000,14
6889075552,40800.00,17000,14
5811288539,40638.00,15630,16
5219845655,40500.00,15000,17
6568184487,40300.00,13000,21
7652033742,40300.00,13000,21
1329819814,40000.00,25000,6
1010093125,40000.00,16000,15
1034605075,40000.00,16000,15
692978688,40000.00,16000,15
6376759845,40000.00,16000,15
519607136,40000.00,16000,15
309067504,40000.00,16000,15
6851662071,39600.00,18000,12
838644952,39600.00,18000,12
7534110371,39600.00,11000,26
1679471128,39600.00,9000,34
7863106344,39196.00,9560,31
1127433411,39100.00,17000,13
7763297518,39100.00,17000,13
585234044,39035.00,10550,27
7625652440,39000.00,15000,16
7544502664,38700.00,9000,33
1187006917,38400.00,16000,14
811439704,38400.00,16000,14
629386320,38400.00,16000,14
1567294389,38370.00,12790,20
1469270087,38340.00,14200,17
510639825,38000.00,19000,10
2125825059,38000.00,19000,10
7249536466,38000.00,10000,28
474460475,37867.00,19930,9
7982285421,37700.00,13000,19
1983366905,37700.00,13000,19
7766274172,37700.00,13000,19
400308021,37700.00,13000,19
1882954913,37700.00,13000,19
1203796843,37422.00,11340,23
547991743,37400.00,22000,7
667838627,37400.00,17000,12
723750801,37324.00,13330,18
5534354979,37200.00,12000,21
5291224325,37170.00,12390,20
7548919769,36900.00,9000,31
495324091,36900.00,9000,31
896954495,36800.00,16000,13
732095900,36662.00,15940,13
250731499,36400.00,14000,16
5255317566,36400.00,14000,16
6342560963,36400.00,14000,16
577044872,36400.00,14000,16
1395815073,36400.00,13000,18
282202452,36400.00,13000,18
