username,gold,userid
ウミ,2981678,line:Ua9562163debec75c8546ca100a30b9c2
Sergii_K1,32927652,944958482
plasnitzu,1136860,6793639563
Alina_Starling,27830971,1061578485
Moldvan,37242083,1418839514
Dondokekeks,35465954,992876583
Liudlych,9126324,1196232556
stso092,22379825,5033112884
daniilnikitin1923,2466897,1000846346
DashaHal_BITS,5027550,458314249
Umoralesc,17529170,1025219719
Hunini99,14562362,6115441026
IsEzdE,14710136,7267895303
Vovan2772,6836960,8053529895
LenyaSheva,5099355,1408123786
olHrynch,24294452,371574729
afrizal222,4082680,1967324429
sashka_alxndr,11443013,382588840
Viktolich,9085026,5938046467
AndreykaBarmaleyka,26317282,309067504
7779318253,812870,7779318253
Ivan_ves,6034870,8244793545
Tio142,15935046,7452257204
5160038433,32611856,5160038433
Jenipherr000,114620,7163175842
7227823386,13717115,7227823386
Jemark Francisco,409290,line:U28143c1d836f2e2a32d716ca7130eb9a
vindestus,1202950,6531634003
Ozi,28238018,line:U998d4619654a40b8c2ffd41516358288
Evgen_bmk,29259549,6259476826
alsu123123,14943965,7393423019
SemenIvanovic,14308719,6455811944
V_strateg,33270139,1002925630
youngLADY62,50103105,1049248385
theguys123,8566711,6775860818
doyzkieeeee,24570881,6899754699
javelinsphere,1408296,8454354242
aa0lxs113,3766611,199588419
Ladangcuan04,419520,7769420595
slowmouwen,8693124,6095784051
Qasa1111,15142720,7434356534
TheCryptoMonster,22609977,1474104798
crypton222,8549254,495324091
m1ster_telegram,9037135,6122479840
Duck_durk,16823249,7079527193
ひろぽん,2765395,line:Ubcc4448d45eac77b5ab5903b341255e9
Julay222,4084640,6506551765
7227936722,874650,7227936722
salin_mihail,34483171,506638270
Algerik9,6375690,7978010120
NastiaSkvortsova,13051445,123269621
volfgant_fr,41777727,678443651
6607187866,7356280,6607187866
7977338646,1062650,7977338646
tophip2,8807969,7045138881
dimatah,26571272,5461403877
isit_9,7652810,7715663907
DenizVK,1570180,498324935
Viktory37AT,24661869,5016528576
Monnika1993,6486610,7845559161
hqlk2016,14840873,5020376275
7391093771,32769198,7391093771
manrey33,26656117,2031054289
ジャム,5386174,line:Uc7463c2e9eee2322c030194f7b28278b
KevinSt73ss,11414000,5060870918
bobovich222,8733200,5191133059
Jack_kredok,11702963,872090162
Tinota97,6457550,7854410220
おかつ,3665271,line:U67aa49495c69d9582d0da8247ee77ba9
lizzahhh,1063250,6631103677
8076024986,875650,8076024986
546557478,8166405,546557478
mu1tiset,18393094,262047356
Jenek201,24333623,1915013858
Dmytro,24079893,line:U5124cdeea557455ec95108985cda1dbf
crypto_protector619,2444396,6938521107
sijedomonz,3404683,7999108913
AmeliaB9d,12126500,5024232481
Alex_Fil2,14698428,1535104706
5506517133,11355958,5506517133
samintuk,984910,6711436716
7315619835,1000650,7315619835
JohnTucEr,11298000,5051583283
koolkawaii,17679107,5433139162
7819256934,895650,7819256934
potemkin_kudasaijp,22453317,7455242788
Red Pearl,1897484,line:Ucc12bbef05cc4f9b00123f4ec35e2a38
zmwmkm4y,5825560,5963698016
福井 祐太,2653190,line:U977e14c683c4c539a019ab477a1ba9eb
7947893463,844650,7947893463
7626794814,7104520,7626794814
tranglongkhanh,1092500,5395156706
mentiou,45866814,6149077801
vilropx,22722248,8097278898
lolipapa222,5401226,6550051256
BOoMBoY49,6855733,2038528533
Tati,6676348,line:U52c9ef97588b6231f6355344d05f4c34
felluk6666,44439848,1177729202
jeffreyrobbinson,4730041,6782053548
stanislav56,3595336,94662552
Steps1985,16916508,6388286606
8035772286,913650,8035772286
Andreirebit,24102502,1685257925
emourgues,15613504,5257285489
dapyo13,3151346,1954690527
5164159910,21995551,5164159910
nataliasporty,7022230,1214172926
StBujang,1813930,6096109698
NataliGoranina,18931505,540147946
angel1na756,35330858,1343254935
cverka22,5298204,6692082898
8199484072,1032830,8199484072
meganesanz,20642733,5337597398
Amirhossein,7612790,line:Ue1421181f11628387f76ec5bcc60734e
Kazuki Okano,5358340,line:U85942e0b983320a333f8198d59d7b054
RobertM8e2,11831500,5058353398
enjoyabol,17794520,467172216
AnitaWilson2020,30795811,6889389416
Olga,18995383,line:Ub3287e7af23312c2d196117168f7faed
7768635192,1070650,7768635192
LamboDiabl,46458747,1071269018
FloraMo39f,11240000,5013005407
konstr_olga,29663652,559959288
mushop74,1124630,385825403
Romul_83,20650415,692978688
E-suchi,4147522,line:U4f0e746762d96ad92d08b5f18ef366b0
herkupeppu,16175445,1219543841
7478007086,896570,7478007086
JacobHa09s,11656500,5039770492
くみっきー,5249012,line:Ub2a9d9aac643056cb85b033ae30a52f5
7746831959,917650,7746831959
クライ,7440237,line:Ude6427923bd0e875f8211d0283bd3b6a
whenyouplaythisgame,10512480,6318499665
みき,1704350,line:U2d7ec70587d328a6506a18c6f24caacc
LucasTa6fe,11656500,5015190182
LucasTa5ff,11656500,5027250941
blacksorrow,17914122,line:U930239cffad36ec65b2aaf01793b267e
BooBooPie,1697810,1017277303
7987652267,1146650,7987652267
brikoer,1067740,7956771479
buzzzklen,27170380,7014044236
Cornho1io,45170821,7188269003
violet_berrys,31006506,5320633298
hkukaist88,3216535,7674497745
8004856266,813650,8004856266
sunnykim8892,2001150,7352874572
Magdale6RT,11656500,5071887565
きどりよ,2012640,line:U594dbcd5f5fb88ff153c68a475a152fd
5811288539,10943184,5811288539
1971445964,9118082,1971445964
paulussssss,31468019,421950593
hiimkat,24228871,256562490
木村真治,1165150,line:U9938055f9457e5d6993758ce1f366b2c
nautpa,312010,1831201594
ReevesEthelbert,11598500,5058657252
LilyJustAFlower,23087699,line:U4925352cbe7d8728f44b8afb8954835e
K_M_A05,27051619,358790126
SPIKE05,8093761,332673452
sw_iceman,40979861,552752256
jack5daniels,27503729,1279626845
SabrinaAset,11656500,5068836806
Demosthenes11,29654325,7084808387
wu_crypto,4746630,1008452020
B0SSS27,24990541,5345553953
minhprolem1,217150,2103925513
OliverH83a,11356000,5072689618
GustarN,1025410,7238515227
nkmslvstr,8720521,6063776779
thesemenko,29071096,488633056
Yra1206,38467886,397235558
RobertTeras,12126500,5041180360
mastrophot,6455207,2018026
8018523849,6461194,8018523849
Saturn26rus,51732102,42457442
Baxmypka,4958510,line:Uaec442d65ca73b0412d1ea0e100a8472
Sudir34,4725550,6613753251
BlomsHelen,11598500,5054753779
vadim_zhivov,37876172,1081511636
oy_craze,26886465,1190456595
BestLyubov,8662428,5091197605
prominimal,16041340,485503380
8495118562,270050,8495118562
8306987127,314670,8306987127
alenka_dja,34202315,1245964050
azazello12345,16819527,751555868
Lastri999,4223748,6650502033
JohnHud58,11482500,5091461634
さとし,5746849,line:Ue0430af8add8abbbde95f6b48faca250
Kaswan202,4145675,6516688013
Superenwell,3673312,1635780430
ketymom,23964894,6998938459
alabamagee,20962913,6196384305
1177379524,1288331,1177379524
＠kira,6632386,line:U5c5aadecd1dd3daca179dcfd74d3c58b
TrueYAMA,35270027,1830055948
reza,1489340,line:U7ff9d7e775b774e09979dc9a08a7031a
o1avit,50214519,5884079775
pwee3,1410371,5158394539
Harvestmoonwallet,7509311,5973540861
NikaFirs,19478061,1729444291
Yulia_Petrova33,10456251,2027725796
RKazemiSW,953390,7282999117
