username,score,purple,legendaries,userId
treun56,112000.00,28000,30,6949088266
grishabaratrum,111600.00,31000,26,1034605075
rog11235,111600.00,31000,26,166699865
ubikon,111600.00,31000,26,551772560
Tulalam,111360.00,27840,30,808164181
Cryptoexchange_EU,111241.00,25870,33,7416049605
pakost_nik,111000.00,30000,27,7032296263
denisverr,110963.00,29990,27,732095900
1010093125,110700.00,27000,31,1010093125
Lapin7774,110700.00,27000,31,355371571
7564132047,110200.00,29000,28,7564132047
nandaar14,109200.00,26000,32,6452388316
mulgogy,109200.00,26000,32,990954612
MaksVolodko,108900.00,33000,23,242617503
Yra1206,108900.00,33000,23,397235558
evorvv,108900.00,33000,23,811439704
crypto_avocado,108514.00,23590,36,5896508558
Iriska1006,108500.00,35000,21,896954495
appel091,108100.00,23000,37,7797278479
enjoyabol,108000.00,30000,26,467172216
7303066101,108000.00,27000,30,7303066101
ALaw1182,107500.00,25000,33,1743345339
Paphchenkoff,107420.00,26200,31,5593289121
Aurora11000,107406.00,27540,29,7441598034
Jujun18,107184.00,25520,32,6824253900
8085938441,107100.00,17000,53,8085938441
7767458121,106785.00,16950,53,7767458121
Jaybem21,106658.00,31370,24,7993751882
darianohka,106600.00,26000,31,1882954913
bronk43,106400.00,28000,28,7003498824
xnMao8w,106400.00,28000,28,7194946005
toffee_6_3,106400.00,28000,28,741385364
Vassilli0,106400.00,28000,28,8139540457
glome_Commanding,106200.00,18000,49,7388430538
7731458843,106200.00,18000,49,7731458843
tonglic,106000.00,20000,43,7698132907
NMSwhale,105862.00,25820,31,2147403948
Greglok,105600.00,32000,23,6726152820
StBujang,105600.00,22000,38,6096109698
nVbKjD,105576.00,19920,43,6750534176
impazik,105300.00,39000,17,815473191
ogyrez23,105000.00,35000,20,1010975870
sjqoqoj,104400.00,29000,26,6022846483
JunniWin,104400.00,29000,26,6990367964
7573738551,104400.00,18000,48,7573738551
trieuugoku,103968.00,28880,26,7750826265
saveno4ek,103600.00,37000,18,1068392820
Ehehdudub,103600.00,28000,27,7875432264
Lukas00137,103500.00,23000,35,7766274172
Ekaterine_98,103233.00,26470,29,909783981
7497801333,103200.00,24000,33,7497801333
dvarbanets,102900.00,21000,39,885622962
Benssoonn,102600.00,38000,17,784567003
g_a_n_z_h,102600.00,27000,28,262468154
GVqPQH,102600.00,19000,44,7357609898
7813973502,102600.00,18000,47,7813973502
Viktolich,102000.00,30000,24,5938046467
Cerebropedalmonogamous,102000.00,17000,50,6971124350
Adriaan_moggie,102000.00,17000,50,7446340732
Alex21197,101500.00,35000,19,970546364
OlegLet,101400.00,26000,29,1279792559
King_Bamboo,101400.00,26000,29,1727756280
6376759845,101400.00,26000,29,6376759845
RainnerAo,101200.00,23000,34,7449999676
dimataggg,100936.00,22940,34,7545216511
Dyrotta67,100936.00,22940,34,7911684551
Kocherova_Elenka,100800.00,36000,18,1526839948
Vitalij_Czajka,100800.00,28000,26,7358841446
HuIik,100800.00,21000,38,373654766
Lhon21_M,100332.00,27870,26,7027588732
Thob_alligator,100300.00,17000,49,7447609997
Kruegger,100000.00,25000,30,218876780
KIG6060,100000.00,25000,30,517400935
8143532564,100000.00,25000,30,8143532564
BLACKDRAGONtg,99826.00,26980,27,5280903192
KavaKstorm,99630.00,22140,35,6596606735
ogslava_v,99600.00,19920,40,7063338675
siniy124,99234.00,26820,27,542849945
